Date,Location,LocationID,Parameter,Units,Value
4/26/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
5/24/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.269
5/24/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
5/24/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl",mg/L,<0.05
5/24/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.269
5/24/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.269
5/24/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
5/24/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
6/28/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.216
6/28/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
6/28/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.1
6/28/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.216
6/28/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.319
6/28/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
6/28/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
6/28/2016 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,0.9
7/27/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.255
7/27/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
7/27/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.08
7/27/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.255
7/27/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.331
7/27/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
7/27/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
8/24/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.336
8/24/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
8/24/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
8/24/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.336
8/24/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.336
8/24/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
8/24/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
9/28/2016 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,1.8
9/28/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.373
9/28/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
9/28/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
9/28/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.373
9/28/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.373
9/28/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
9/28/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
10/26/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.316
10/26/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
10/26/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.18
10/26/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.316
10/26/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.499
10/26/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
10/26/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
11/24/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.294
11/24/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
11/24/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,0.23
11/24/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.294
11/24/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.521
11/24/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
11/24/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
12/12/2016 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,1.2
12/12/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.4
12/12/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
12/12/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
12/12/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.4
12/12/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.4
12/12/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
12/12/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
12/13/2016 12:00,Shuswap_Well,SW,"Carbon, Total Organic",mg/L,2.1
12/20/2016 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.4
12/20/2016 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
